# Listed companies matched to week 4 clients and filing firms by exact normalized name; SIC from the SEC submissions API, NAICS sector by week04_sec.sector_of_sic().
key,cik,ticker,sec_name,sic,sic_description,naics2,filings
FEIN 223514823,0001046257,INGR,Ingredion Inc,2040,Grain Mill Products,31-33,45
FEIN 275411834,0001517413,FSLY,"Fastly, Inc.",7372,Services-Prepackaged Software,51,45
FEIN 862528989,0001816581,OUST,"Ouster, Inc.",3569,"General Industrial Machinery & Equipment, NEC",31-33,45
FEIN 474303094,0001737953,REPL,"Replimune Group, Inc.",2836,"Biological Products, (No Diagnostic Substances)",31-33,45
FEIN 420802678,0000107687,WGO,WINNEBAGO INDUSTRIES INC,3716,Motor Homes,31-33,45
FEIN 811230166,0001759631,HYLN,Hyliion Holdings Corp.,3713,Truck & Bus Bodies,31-33,45
FEIN 061713274,0001327688,OOMA,OOMA INC,7374,Services-Computer Processing & Data Preparation,54,45
APOLLO GLOBAL MANAGEMENT,0001858681,APO,"Apollo Global Management, Inc.",6282,Investment Advice,52,44
HARTFORD INSURANCE,0000874766,HIG,"HARTFORD INSURANCE GROUP, INC.",6331,"Fire, Marine & Casualty Insurance",52,44
FEIN 390482000,0000067347,MOD,MODINE MANUFACTURING CO,3714,Motor Vehicle Parts & Accessories,31-33,44
WESTLAKE,0001262823,WLK,WESTLAKE CORP,2860,Industrial Organic Chemicals,31-33,44
FEIN 362478302,0000078890,BCO,BRINKS CO,4731,Arrangement of  Transportation of  Freight & Cargo,48-49,44
FEIN 831630228,0002100782,GENB,"Generate Biomedicines, Inc.",2834,Pharmaceutical Preparations,31-33,44
ILLINOIS TOOL WORKS,0000049826,ITW,ILLINOIS TOOL WORKS INC,3560,General Industrial Machinery & Equipment,31-33,43
FEIN 953551121,0001393311,PSA,Public Storage,6798,Real Estate Investment Trusts,52,43
FEIN 223627044,0001094366,RDWR,RADWARE LTD,7389,"Services-Business Services, NEC",56,43
FEIN 953797439,0000718937,STAA,STAAR SURGICAL CO,3851,Ophthalmic Goods,31-33,43
FEIN 743111935,0001560327,RPD,"Rapid7, Inc.",7372,Services-Prepackaged Software,51,43
FEIN 650750100,0001057379,HCKT,"HACKETT GROUP, INC.",8742,Services-Management Consulting Services,54,43
CREDIT SUISSE AG,0001053092,GLDI,CREDIT SUISSE AG,6211,"Security Brokers, Dealers & Flotation Companies",52,43
FEIN 464097528,0001650664,EDIT,"Editas Medicine, Inc.",2836,"Biological Products, (No Diagnostic Substances)",31-33,42
FEIN 222069427,0000700841,RCMT,"RCM TECHNOLOGIES, INC.",7363,Services-Help Supply Services,56,42
FEIN 770142404,0001023731,EGHT,8X8 INC /DE/,7374,Services-Computer Processing & Data Preparation,54,42
ON SEMICONDUCTOR,0001097864,ON,ON SEMICONDUCTOR CORP,3674,Semiconductors & Related Devices,31-33,41
FEIN 854299396,0001836833,PL,Planet Labs PBC,3663,Radio & Tv Broadcasting & Communications Equipment,31-33,41
MARRIOTT VACATIONS WORLDWIDE,0001524358,VAC,MARRIOTT VACATIONS WORLDWIDE Corp,6531,Real Estate Agents & Managers (For Others),53,41
FEIN 205455398,0001384101,VCYT,"VERACYTE, INC.",8071,Services-Medical Laboratories,62,41
FEIN 430955234,0001628369,CWK,Cushman & Wakefield Ltd.,6500,Real Estate,53,41
FEIN 200270429,0001459200,ALRM,"Alarm.com Holdings, Inc.",7372,Services-Prepackaged Software,51,41
FEIN 853174357,0001828318,ENVX,Enovix Corp,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",31-33,41
PROGRESSIVE,0000080661,PGR,PROGRESSIVE CORP/OH/,6331,"Fire, Marine & Casualty Insurance",52,40
FEIN 411956721,0001043277,CHRW,"C. H. ROBINSON WORLDWIDE, INC.",4731,Arrangement of  Transportation of  Freight & Cargo,48-49,40
WEYERHAEUSER,0000106535,WY,WEYERHAEUSER CO,6798,Real Estate Investment Trusts,52,40
FEIN 363795742,0000889331,LFUS,LITTELFUSE INC /DE,3613,Switchgear & Switchboard Apparatus,31-33,40
NORWEGIAN CRUISE LINE,0001513761,NCLH,Norwegian Cruise Line Holdings Ltd.,4400,Water Transportation,48-49,40
BATH AND BODY WORKS,0000701985,BBWI,"Bath & Body Works, Inc.",5990,"Retail-Retail Stores, NEC",44-45,40
FEIN 275411038,0001527753,PSNL,"Personalis, Inc.",8071,Services-Medical Laboratories,62,40
FEIN 562242657,0001514416,BAND,Bandwidth Inc.,7372,Services-Prepackaged Software,51,40
FEIN 800812659,0001549346,SSTK,"Shutterstock, Inc.",7374,Services-Computer Processing & Data Preparation,54,40
ORACLE,0001341439,ORCL,ORACLE CORP,7372,Services-Prepackaged Software,51,39
RESMED,0000943819,RMD,RESMED INC,3841,Surgical & Medical Instruments & Apparatus,31-33,39
FEIN 930835214,0000855658,LSCC,LATTICE SEMICONDUCTOR CORP,3674,Semiconductors & Related Devices,31-33,39
FEIN 464233385,0001649094,PCVX,"Vaxcyte, Inc.",2836,"Biological Products, (No Diagnostic Substances)",31-33,39
FEIN 331156466,0001796022,STEP,StepStone Group Inc.,6282,Investment Advice,52,39
FEIN 760638207,0001070235,BB,BLACKBERRY Ltd,7372,Services-Prepackaged Software,51,39
FEIN 451234222,0001573221,REAL,"TheRealReal, Inc.",5900,Retail-Miscellaneous Retail,44-45,39
WOODSIDE ENERGY,0000844551,WDS,WOODSIDE ENERGY GROUP LTD,1311,Crude Petroleum & Natural Gas,21,39
FEIN 042277512,0001049502,MKSI,MKS INC,3823,"Industrial Instruments For Measurement, Display, and Control",31-33,38
FEIN 570248420,0000091767,SON,SONOCO PRODUCTS CO,2650,Paperboard Containers & Boxes,31-33,38
SIGNET JEWELERS,0000832988,SIG,SIGNET JEWELERS LTD,5944,Retail-Jewelry Stores,44-45,38
ALIGNMENT HEALTHCARE,0001832466,ALHC,"Alignment Healthcare, Inc.",6324,Hospital & Medical Service Plans,52,38
FEIN 222267658,0000317788,APPS,"Digital Turbine, Inc.",6794,Patent Owners & Lessors,52,38
STONERIDGE,0001043337,SRI,STONERIDGE INC,3714,Motor Vehicle Parts & Accessories,31-33,38
FEIN 200514392,0001484612,OM,"Outset Medical, Inc.",3845,Electromedical & Electrotherapeutic Apparatus,31-33,38
FEIN 954717599,0001826889,BODI,"Beachbody Company, Inc.",5960,Retail-Nonstore Retailers,44-45,38
FEIN 341096634,0000766704,WELL,WELLTOWER INC.,6798,Real Estate Investment Trusts,52,37
WESTERN DIGITAL,0000106040,WDC,WESTERN DIGITAL CORP,3572,Computer Storage Devices,31-33,37
PROLOGIS,0001045609,PLD,"Prologis, Inc.",6798,Real Estate Investment Trusts,52,37
FEIN 800682103,0001506307,KMI,"KINDER MORGAN, INC.",4922,Natural Gas Transmission,22,37
FEIN 410948415,0000815556,FAST,FASTENAL CO,5200,"Retail-Building Materials, Hardware, Garden Supply",44-45,37
AXALTA COATING SYSTEMS,0001616862,AXTA,Axalta Coating Systems Ltd.,2851,"Paints, Varnishes, Lacquers, Enamels & Allied Prods",31-33,37
FEIN 753262430,0000097216,TEX,TEREX CORP,3537,"Industrial Trucks, Tractors, Trailors & Stackers",31-33,37
FLOOR AND DECOR,0001507079,FND,"Floor & Decor Holdings, Inc.",5211,Retail-Lumber & Other Building Materials Dealers,44-45,37
FEIN 410572550,0000097134,TNC,TENNANT CO,3580,Refrigeration & Service Industry Machinery,31-33,37
FEIN 132657051,0000712034,ACCO,ACCO BRANDS Corp,2780,"Blankbooks, Looseleaf Binders & Bookbindg & Relatd Work",31-33,37
FEIN 813983399,0001689375,TRDA,"Entrada Therapeutics, Inc.",2834,Pharmaceutical Preparations,31-33,37
FEIN 750725338,0000022444,CMC,COMMERCIAL METALS Co,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",31-33,37
INGERSOLL RAND,0001699150,IR,Ingersoll Rand Inc.,3560,General Industrial Machinery & Equipment,31-33,36
FEIN 272122990,0001849253,RYAN,"RYAN SPECIALTY HOLDINGS, INC.",6411,"Insurance Agents, Brokers & Service",52,36
FEIN 943291317,0001061983,CYTK,CYTOKINETICS INC,2834,Pharmaceutical Preparations,31-33,36
FEIN 371820831,0001567683,CWEN,"Clearway Energy, Inc.",4911,Electric Services,22,36
FEIN 381859358,0001076930,NOVT,NOVANTA INC,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",31-33,36
FEIN 260506743,0001464521,HTFL,"Heartflow, Inc.",3841,Surgical & Medical Instruments & Apparatus,31-33,36
FEIN 060918165,0000723612,CAR,"AVIS BUDGET GROUP, INC.",7510,Services-Auto Rental & Leasing (No Drivers),81,36
FEIN 680517515,0001757073,NVST,Envista Holdings Corp,3843,Dental Equipment & Supplies,31-33,36
FEIN 341562374,0000821026,ANDE,"Andersons, Inc.",5150,Wholesale-Farm Product Raw Materials,42,36
FEIN 222423556,0000109177,SPB,"Spectrum Brands Holdings, Inc.",3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",31-33,36
FEIN 463837784,0001083446,ASTH,"Astrana Health, Inc.",8742,Services-Management Consulting Services,54,36
FMC,0000037785,FMC,FMC CORP,2800,Chemicals & Allied Products,31-33,36
FEIN 843097762,0001894562,PRME,"Prime Medicine, Inc.",2836,"Biological Products, (No Diagnostic Substances)",31-33,36
FEIN 330989359,0001294133,INGN,Inogen Inc,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",31-33,36
PG AND E,0001004980,PCG,PG&E Corp,4931,Electric & Other Services Combined,22,35
FEIN 263007140,0001493594,MTSI,"MACOM Technology Solutions Holdings, Inc.",3674,Semiconductors & Related Devices,31-33,35
FEIN 920919727,0001823945,OWL,BLUE OWL CAPITAL INC.,6282,Investment Advice,52,35
FEIN 954148514,0000831641,TTEK,TETRA TECH INC,8711,Services-Engineering Services,54,35
FEIN 390520270,0000775158,OSK,OSHKOSH CORP,3711,Motor Vehicles & Passenger Car Bodies,31-33,35
FEIN 510625438,0001827090,CERT,"Certara, Inc.",7372,Services-Prepackaged Software,51,35
FEIN 850402479,0001820721,ARRY,"Array Technologies, Inc.",3674,Semiconductors & Related Devices,31-33,35
FEIN 410222640,0000029644,DCI,DONALDSON Co INC,3564,Industrial & Commercial Fans & Blowers & Air Purifing Equip,31-33,35
ALPHABET,0001652044,GOOGL,Alphabet Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",54,34
BAE SYSTEMS,0000895564,BAESY,BAE SYSTEMS PLC /FI/,,,,34
ENERGY TRANSFER,0001276187,ET,Energy Transfer LP,4922,Natural Gas Transmission,22,34
FEIN 251701361,0001120914,PDFS,PDF SOLUTIONS INC,7372,Services-Prepackaged Software,51,34
FEIN 352426358,0001538379,IBTA,"Ibotta, Inc.",7310,Services-Advertising,56,34
FEIN 813434516,0001681622,VREX,Varex Imaging Corp,3679,"Electronic Components, NEC",31-33,34
FEIN 231483991,0002104052,NVRI,Enviri Corp,4953,Refuse Systems,22,34
FEIN 371827430,0001818644,LIDR,"AEye, Inc.",3714,Motor Vehicle Parts & Accessories,31-33,34
FEIN 942703333,0001177394,SNX,TD SYNNEX CORP,5045,Wholesale-Computers & Peripheral Equipment & Software,42,34
HILTON WORLDWIDE,0001585689,HLT,Hilton Worldwide Holdings Inc.,7011,Hotels & Motels,72,33
FEIN 208579133,0001396009,VMC,Vulcan Materials CO,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),21,33
FEIN 541692118,0000915913,ALB,ALBEMARLE CORP,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",31-33,33
FEIN 272485512,0001516513,DOCS,"Doximity, Inc.",7371,Services-Computer Programming Services,54,33
FEIN 131166910,0000078239,PVH,PVH CORP. /DE/,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",31-33,33
FEIN 271911389,0001500412,AMBQ,"Ambiq Micro, Inc.",3674,Semiconductors & Related Devices,31-33,33
GE VERNOVA,0001996810,GEV,GE Vernova Inc.,3600,Electronic & Other Electrical Equipment (No Computer Equip),31-33,32
FEIN 561848578,0000916076,MLM,MARTIN MARIETTA MATERIALS INC,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),21,32
FEIN 330336973,0000874015,IONS,IONIS PHARMACEUTICALS INC,2834,Pharmaceutical Preparations,31-33,32
FEIN 333075644,0002067876,VSNT,"Versant Media Group, Inc.",4833,Television Broadcasting Stations,51,32
FEIN 753254381,0001425205,IOVA,"IOVANCE BIOTHERAPEUTICS, INC.",2836,"Biological Products, (No Diagnostic Substances)",31-33,32
ZIFF DAVIS,0001084048,ZD,"ZIFF DAVIS, INC.",4822,Telegraph & Other Message Communications,51,32
FEIN 133346717,0001941365,MBC,"MasterBrand, Inc.",2511,"Wood Household Furniture, (No Upholstered)",31-33,32
FEIN 952698708,0000807882,JACK,JACK IN THE BOX INC,5812,Retail-Eating  Places,72,32
FEIN 462007094,0001874097,CYN,Cyngn Inc.,7371,Services-Computer Programming Services,54,32
INTERACTIVE BROKERS,0001381197,IBKR,"Interactive Brokers Group, Inc.",6211,"Security Brokers, Dealers & Flotation Companies",52,31
FEIN 731567067,0001090012,DVN,DEVON ENERGY CORP/DE,1311,Crude Petroleum & Natural Gas,21,31
GLOBE LIFE,0000320335,GL,GLOBE LIFE INC.,6311,Life Insurance,52,31
ALLEGION,0001579241,ALLE,Allegion plc,7381,"Services-Detective, Guard & Armored Car Services",56,31
FEIN 410580470,0000737758,TTC,TORO CO,3524,Lawn & Garden Tractors & Home Lawn & Gardens Equip,31-33,31
FEIN 911650317,0001433660,JBTM,JBT MAREL Corp,3550,Special Industry Machinery (No Metalworking Machinery),31-33,31
FEIN 382030505,0000355811,GNTX,GENTEX CORP,3714,Motor Vehicle Parts & Accessories,31-33,31
FEIN 270907024,0001478320,ADPT,Adaptive Biotechnologies Corp,2836,"Biological Products, (No Diagnostic Substances)",31-33,31
FEIN 030486428,0001660280,TENB,"Tenable Holdings, Inc.",7372,Services-Prepackaged Software,51,31
FEIN 340183970,0000028823,DBD,"DIEBOLD NIXDORF, Inc",3578,Calculating & Accounting Machines (No Electronic Computers),31-33,31
FEIN 620873631,0000792987,ASTE,ASTEC INDUSTRIES INC,3531,Construction Machinery & Equip,31-33,31
FEIN 010724376,0001201792,APEI,AMERICAN PUBLIC EDUCATION INC,8200,Services-Educational Services,61,31
FEIN 133060083,0001632127,CABO,"Cable One, Inc.",4841,Cable & Other Pay Television Services,51,31
FEIN 161095651,0001420798,RBGLY,RECKITT BENCKISER GROUP PLC,,,,30
FEIN 452080495,0001524472,XYL,Xylem Inc.,3561,Pumps & Pumping Equipment,31-33,30
WESCO INTERNATIONAL,0000929008,WCC,WESCO INTERNATIONAL INC,5063,"Wholesale-Electrical Apparatus & Equipment, Wiring Supplies ",42,30
FEIN 541163725,0000874761,AES,AES CORP,4991,Cogeneration Services & Small Power Producers,22,30
FEIN 042729386,0000730272,RGEN,REPLIGEN CORP,2836,"Biological Products, (No Diagnostic Substances)",31-33,30
BRINKER INTERNATIONAL,0000703351,EAT,"BRINKER INTERNATIONAL, INC",5812,Retail-Eating  Places,72,30
FEIN 825339416,0001739445,ACA,"Arcosa, Inc.",3440,Fabricated Structural Metal Products,31-33,30
LITHIA MOTORS,0001023128,LAD,LITHIA MOTORS INC,5500,Retail-Auto Dealers & Gasoline Stations,44-45,30
ATLANTICUS,0001464343,ATLC,Atlanticus Holdings Corp,6141,Personal Credit Institutions,52,30
FEIN 770553536,0001387467,AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd,3674,Semiconductors & Related Devices,31-33,30
FEIN 264009181,0001484778,TDUP,ThredUp Inc.,5961,Retail-Catalog & Mail-Order Houses,44-45,30
FEIN 060570975,0000101829,RTX,RTX Corp,3724,Aircraft Engines & Engine Parts,31-33,29
TOYOTA MOTOR,0001094517,TM,TOYOTA MOTOR CORP/,3711,Motor Vehicles & Passenger Car Bodies,31-33,29
CLEAN HARBORS,0000822818,CLH,CLEAN HARBORS INC,4955,Hazardous Waste Management,22,29
HYATT HOTELS,0001468174,H,Hyatt Hotels Corp,7011,Hotels & Motels,72,29
OWENS CORNING,0001370946,OC,Owens Corning,3290,"Abrasive, Asbestos & Misc Nonmetallic Mineral Prods",31-33,29
FEIN 510105665,0001604028,WMS,"ADVANCED DRAINAGE SYSTEMS, INC.",3086,Plastics Foam Products,31-33,29
FEIN 751285071,0000802481,PPC,PILGRIMS PRIDE CORP,2015,Poultry Slaughtering and Processing,31-33,29
FEIN 811209168,0001820144,GRND,Grindr Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",54,29
COHU,0000021535,COHU,COHU INC,3825,Instruments For Meas & Testing of  Electricity & Elec Signals,31-33,29
PRA,0001185348,PRAA,PRA GROUP INC,6153,Short-Term Business Credit Institutions,52,29
FEIN 463003182,0001640266,VYGR,"Voyager Therapeutics, Inc.",2836,"Biological Products, (No Diagnostic Substances)",31-33,29
FEIN 271113325,0001993400,FATN,Fatpipe Inc/UT,7372,Services-Prepackaged Software,51,29
FEIN 274326290,0001609809,MCRB,"Seres Therapeutics, Inc.",2834,Pharmaceutical Preparations,31-33,29
FEIN 263931704,0001503802,KPTI,Karyopharm Therapeutics Inc.,2834,Pharmaceutical Preparations,31-33,29
MSC INDUSTRIAL DIRECT,0001003078,MSM,MSC INDUSTRIAL DIRECT CO INC,5084,Wholesale-Industrial Machinery & Equipment,42,29
CME,0001156375,CME,CME GROUP INC.,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services",52,28
FEIN 250317820,0000004281,HWM,Howmet Aerospace Inc.,3350,Rolling Drawing & Extruding of  Nonferrous Metals,31-33,28
FEIN 231722724,0001047127,AMKR,"AMKOR TECHNOLOGY, INC.",3674,Semiconductors & Related Devices,31-33,28
FEIN 630860407,0000785161,EHC,Encompass Health Corp,8060,Services-Hospitals,62,28
FEIN 411689746,0001869198,LTH,"Life Time Group Holdings, Inc.",7997,Services-Membership Sports & Recreation Clubs,71,28
FEIN 611088522,0000868857,ACM,AECOM,8711,Services-Engineering Services,54,28
H AND R BLOCK,0000012659,HRB,H&R BLOCK INC,7200,Services-Personal Services,81,28
FEIN 363352497,0000769520,MIDD,MIDDLEBY Corp,3580,Refrigeration & Service Industry Machinery,31-33,28
FEIN 341730488,0001122976,AVNT,AVIENT CORP,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",31-33,28
FEIN 465216257,0001794669,FOUR,"Shift4 Payments, Inc.",7389,"Services-Business Services, NEC",56,28
HEALTHCARE SERVICES,0000731012,HCSG,HEALTHCARE SERVICES GROUP INC,8050,Services-Nursing & Personal Care Facilities,62,28
FEIN 043559972,0001145986,ASPN,ASPEN AEROGELS INC,5030,Wholesale-Lumber & Other Construction Materials,42,28
FEIN 030491827,0001347178,VNDA,Vanda Pharmaceuticals Inc.,2834,Pharmaceutical Preparations,31-33,28
FEIN 871583942,0001872789,EMBC,Embecta Corp.,3841,Surgical & Medical Instruments & Apparatus,31-33,28
FEIN 680359556,0001001233,SGMOQ,"SANGAMO THERAPEUTICS, INC",2836,"Biological Products, (No Diagnostic Substances)",31-33,28
FEIN 881235576,0000771999,DSS,"DSS, INC.",2650,Paperboard Containers & Boxes,31-33,28
CONSTELLATION ENERGY,0001868275,CEG,Constellation Energy Corp,4911,Electric Services,22,27
DOLLAR TREE,0000935703,DLTR,"DOLLAR TREE, INC.",5331,Retail-Variety Stores,44-45,27
ELANCO ANIMAL HEALTH,0001739104,ELAN,Elanco Animal Health Inc,2834,Pharmaceutical Preparations,31-33,27
FEIN 042591836,0001672013,GOLF,Acushnet Holdings Corp.,3949,"Sporting & Athletic Goods, NEC",31-33,27
FEIN 453079342,0001841156,PAY,"Paymentus Holdings, Inc.",7389,"Services-Business Services, NEC",56,27
FEIN 223672377,0001093691,PLUG,PLUG POWER INC,3620,Electrical Industrial Apparatus,31-33,27
FEIN 060853042,0000886128,FCEL,FUELCELL ENERGY INC,3620,Electrical Industrial Apparatus,31-33,27
FEIN 264741839,0001891027,MNTN,"MNTN, Inc.",7310,Services-Advertising,56,27
FEIN 591517485,0000720005,RJF,RAYMOND JAMES FINANCIAL INC,6211,"Security Brokers, Dealers & Flotation Companies",52,26
FEIN 843332269,0001681459,FTI,TechnipFMC plc,3533,Oil & Gas Field Machinery & Equipment,31-33,26
FEIN 340359955,0000059527,LECO,LINCOLN ELECTRIC HOLDINGS INC,3540,Metalworkg Machinery & Equipment,31-33,26
FEIN 340117420,0000109563,AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC,5080,"Wholesale-Machinery, Equipment & Supplies",42,26
FEIN 731481638,0001021635,OGE,OGE ENERGY CORP.,4911,Electric Services,22,26
FEIN 770024818,0000772406,CRUS,"CIRRUS LOGIC, INC.",3674,Semiconductors & Related Devices,31-33,26
FEIN 811082020,0002070849,BLLN,"BillionToOne, Inc.",8071,Services-Medical Laboratories,62,26
FEIN 463561936,0001587732,OGS,"ONE Gas, Inc.",4924,Natural Gas Distribution,22,26
BREAD FINANCIAL,0001101215,BFH,"BREAD FINANCIAL HOLDINGS, INC.",6141,Personal Credit Institutions,52,26
FEIN 871554861,0001886428,SLDE,"Slide Insurance Holdings, Inc.",6331,"Fire, Marine & Casualty Insurance",52,26
FEIN 412015127,0001092699,SPSC,SPS COMMERCE INC,7372,Services-Prepackaged Software,51,26
FEIN 382367843,0000711377,NEOG,NEOGEN CORP,2835,In Vitro & In Vivo Diagnostic Substances,31-33,26
RH,0001528849,RH,RH,5712,Retail-Furniture Stores,44-45,26
FEIN 272793871,0001568100,PD,"PagerDuty, Inc.",7372,Services-Prepackaged Software,51,26
FEIN 770419172,0001122904,NTGR,"NETGEAR, INC.",3576,Computer Communications Equipment,31-33,26
FEIN 522000730,0001616543,SENS,"Senseonics Holdings, Inc.",3823,"Industrial Instruments For Measurement, Display, and Control",31-33,26
FEIN 141902018,0001367644,EBS,Emergent BioSolutions Inc.,2834,Pharmaceutical Preparations,31-33,26
FEIN 814928437,0001808805,NAUT,"Nautilus Biotechnology, Inc.",3826,Laboratory Analytical Instruments,31-33,26
HERE,0001932770,HERE,Here Group Ltd,5945,"Retail-Hobby, Toy & Game Shops",44-45,26
FEIN 680623433,0001378950,PRTS,"CarParts.com, Inc.",5531,Retail-Auto & Home Supply Stores,44-45,26
FEIN 861072180,0002028464,ENT,"ENTRATA, INC.",7372,Services-Prepackaged Software,51,26
FEIN 351929476,0001022671,STLD,STEEL DYNAMICS INC,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",31-33,25
CF INDUSTRIES,0001324404,CF,"CF Industries Holdings, Inc.",2870,Agricultural Chemicals,31-33,25
EVERGY,0001711269,EVRG,"Evergy, Inc.",4931,Electric & Other Services Combined,22,25
FEIN 770228183,0000897723,SANM,SANMINA CORP,3672,Printed Circuit Boards,31-33,25
FEIN 520845861,0000091388,SFD,SMITHFIELD FOODS INC,2011,Meat Packing Plants,31-33,25
FEIN 474673720,0002065636,MWH,"SOLV Energy, Inc.",1600,Heavy Construction Other Than Bldg Const - Contractors,23,25
FEIN 043444218,0001111928,IPGP,IPG PHOTONICS CORP,3674,Semiconductors & Related Devices,31-33,25
FEIN 464084185,0001821769,NVTS,Navitas Semiconductor Corp,3674,Semiconductors & Related Devices,31-33,25
FEIN 135657518,0000791963,OPY,OPPENHEIMER HOLDINGS INC,6211,"Security Brokers, Dealers & Flotation Companies",52,25
FEIN 270117058,0001667011,AIP,"Arteris, Inc.",3674,Semiconductors & Related Devices,31-33,25
FEIN 870418827,0000807863,MITK,MITEK SYSTEMS INC,3577,"Computer Peripheral Equipment, NEC",31-33,25
FEIN 250644320,0000063296,MATW,MATTHEWS INTERNATIONAL CORP,3360,Nonferrous Foundries (Castings),31-33,25
FEIN 341113319,0001712463,PACK,Ranpak Holdings Corp.,2670,Converted Paper & Paperboard Prods (No Contaners/Boxes),31-33,25
FEIN 821236867,0001718728,SYTN,Syntiant Corp.,3674,Semiconductors & Related Devices,31-33,25
FEIN 133095268,0001070304,IX,ORIX CORP,6159,Miscellaneous Business Credit Institution,52,24
FEIN 900648790,0001329099,BIDU,"Baidu, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",54,24
NOMURA,0001163653,NMR,NOMURA HOLDINGS INC,6211,"Security Brokers, Dealers & Flotation Companies",52,24
DARDEN RESTAURANTS,0000940944,DRI,DARDEN RESTAURANTS INC,5812,Retail-Eating  Places,72,24
PLAINS ALL AMERICAN PIPELINE,0001070423,PAA,PLAINS ALL AMERICAN PIPELINE LP,4610,Pipe Lines (No Natural Gas),48-49,24
REINSURANCE GROUP OF AMERICA,0000898174,RGA,REINSURANCE GROUP OF AMERICA INC,6311,Life Insurance,52,24
FEIN 831629418,0000096943,TFX,TELEFLEX INC,3841,Surgical & Medical Instruments & Apparatus,31-33,24
FEIN 954371716,0000043920,GEF,"GREIF, INC",3412,"Metal Shipping Barrels, Drums, Kegs & Pails",31-33,24
MAGNITE,0001595974,MGNI,"MAGNITE, INC.",7370,"Services-Computer Programming, Data Processing, Etc.",54,24
FEIN 930768752,0000730263,THO,THOR INDUSTRIES INC,3716,Motor Homes,31-33,24
FEIN 943134940,0000906709,NKTR,NEKTAR THERAPEUTICS,2834,Pharmaceutical Preparations,31-33,24
FEIN 660449729,0001559865,EVTC,"EVERTEC, Inc.",7374,Services-Computer Processing & Data Preparation,54,24
FEIN 811591163,0001817229,VOR,Vor Biopharma Inc.,2836,"Biological Products, (No Diagnostic Substances)",31-33,24
FEIN 133607736,0000899460,MNKD,MANNKIND CORP,2834,Pharmaceutical Preparations,31-33,24
FEIN 330702205,0001297184,AMPH,"Amphastar Pharmaceuticals, Inc.",2834,Pharmaceutical Preparations,31-33,24
FEIN 453935628,0001665988,BVS,Bioventus Inc.,3841,Surgical & Medical Instruments & Apparatus,31-33,24
FEIN 384098362,0002055592,GEMI,"Gemini Space Station, Inc.",6199,Finance Services,52,24
FEIN 460920988,0001604464,ATRA,"Atara Biotherapeutics, Inc.",2836,"Biological Products, (No Diagnostic Substances)",31-33,24
FEIN 813909017,0001785279,MGX,"Metagenomi Therapeutics, Inc.",2836,"Biological Products, (No Diagnostic Substances)",31-33,24
COLGATE PALMOLIVE,0000021665,CL,COLGATE PALMOLIVE CO,2844,"Perfumes, Cosmetics & Other Toilet Preparations",31-33,23
ALLSTATE,0000899051,ALL,ALLSTATE CORP,6331,"Fire, Marine & Casualty Insurance",52,23
FEIN 460408024,0000879407,ARWR,"ARROWHEAD PHARMACEUTICALS, INC.",2834,Pharmaceutical Preparations,31-33,23
FEIN 730780382,0000875357,BOKF,BOK FINANCIAL CORP,6021,National Commercial Banks,52,23
FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,0000310522,FNMA,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,6111,Federal & Federally-Sponsored Credit Agencies,52,23
KONTOOR BRANDS,0001760965,KTB,"Kontoor Brands, Inc.",2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",31-33,23
FEIN 364899036,0002104204,ALMR,"Alamar Biosciences, Inc.",3826,Laboratory Analytical Instruments,31-33,23
FEIN 474027764,0001653477,NGVT,Ingevity Corp,2800,Chemicals & Allied Products,31-33,23
FEIN 250900168,0000055242,KMT,KENNAMETAL INC,3541,"Machine Tools, Metal Cutting Types",31-33,23
FEIN 464099738,0001601830,RXRX,"RECURSION PHARMACEUTICALS, INC.",2836,"Biological Products, (No Diagnostic Substances)",31-33,23
WENDY S,0000030697,WEN,Wendy's Co,5810,Retail-Eating & Drinking Places,72,23
FEIN 380751137,0000057131,LZB,LA-Z-BOY INC,2510,Household Furniture,31-33,23
VIRTUS INVESTMENT PARTNERS,0000883237,VRTS,"VIRTUS INVESTMENT PARTNERS, INC.",6282,Investment Advice,52,23
